TotalSalesValue,AllocatedValue,Status,QtyAllocated,xLineNumber,InvoiceDate,SalesQuantity,SalesQtyAllocated,InvoiceNo,ItemNumber,ItemDescription,DutyFreePaid,pCNumber,pRegistrationDate,pQuantity,pQtyAllocated,PiQuantity,xCNumber,xRegistrationDate,pLineNumber,SalesCost,Total_CIF_itm,DutyLiability,TaxAmount,pIsAssessed,DoNotAllocateSales,DoNotAllocatePreviousEntry,SANumber,pReferenceNumber,xReferenceNumber,TariffCode,Invalid,pExpiryDate
"88.7699966430664","88.7699966430664","Over Allocated Entry by 1","1",,"9/8/2018 12:00:00 AM","1","0","GB00043553","CB/BM35X178","Cutlass-Bearing, 35mm x 1-7/8"" Brs","Duty Free","37706","10/5/2018 12:00:00 AM",,"0",,,,"41","88.7699966430664","88.7699966430664","19.22","0","True",,,"2","OPS-2018-08-31-F5",,"84839029","False","10/4/2020 12:00:00 AM"
"0.560000002384186","0.560000002384186","No Asycuda Entries Found","1",,"9/8/2018 12:00:00 AM","1","0","GB00043554","8BM/PM-PAINTSTICK","Paint-Stick, 12"" Wood Labelled Budget Ma","Duty Free",,,,,,,,,"0.560000002384186",,,"0",,,,"1",,,,,
"-13.4099998474121","-13.4099998474121","Returned More than Sold","-1",,"9/10/2018 12:00:00 AM","-1","0","GB00043588","FBT/RC12X38","Reduc-Coupling, Brz 1/2to3/8Fpt Taper","Duty Free",,,,,,,,,"13.4099998474121",,,"0",,,,"1",,,,,
"-303.649993896484","-303.649993896484","No Asycuda Entries Found","-1",,"9/17/2018 12:00:00 AM","-1","0","GB00043635","MJM/B766-08C","Sunglasses, Kanaio Coast Fr:Matte Bl Lns","Duty Free",,,,,,,,,"303.649993896484",,,"0",,,,"1",,,,,
"0.770000003278255","0.0700000002980232","Over Allocated Entry by 1","1",,"9/18/2018 12:00:00 AM","11","10","GB00043650","FAA/NYW14","Washer, Nylon Flat #14","Duty Free","37709","10/5/2018 12:00:00 AM","38","38",,,,"190","0.0700000002980232","3.42000007629395","0.74","0","True",,,"3","OPS-2018-08-31-F6",,"73182200","False","10/4/2020 12:00:00 AM"
"12.539999961853","12.539999961853","No Asycuda Entries Found","1",,"9/19/2018 12:00:00 AM","1","0","GB00043679","VET/SET0202","Lock-Washer, f/35mm Shaft Nut","Duty Free",,,,,,,,,"12.539999961853",,,"0",,,,"3",,,,,
"129.879997730255","129.879997730255","Over Allocated Entry by 68","68",,"9/19/2018 12:00:00 AM","68","0","GB00043682","FAS/SSMA10X60","Machine Screw, SS Flat-Head M10 x 60 Phi","Duty Free","37856","10/7/2018 12:00:00 AM","54","54",,,,"143","1.9099999666214","103.139999389648","22.33","0","True",,,"2","OPS-2018-08-31-F8",,"73181400","False","10/6/2020 12:00:00 AM"
"130.75","130.75","No Asycuda Entries Found","1",,"9/19/2018 12:00:00 AM","1","0","GB00043687","AQS/34203-7","Nav-Light, Starboard Ser.34 LED 12/24V W","Duty Free",,,,,,,,,"130.75",,,"0",,,,"1",,,,,
"130.75","130.75","No Asycuda Entries Found","1",,"9/19/2018 12:00:00 AM","1","0","GB00043687","AQS/34303-7","Nav-Light, Port Ser.34 LED 12/24V Wh","Duty Free",,,,,,,,,"130.75",,,"0",,,,"2",,,,,
"-21.9699993133545","-21.9699993133545","No Asycuda Entries Found","-1",,"9/19/2018 12:00:00 AM","-1","0","GB00043691","COH/5592","Toggle Switch, DPDT On-Off-On MET SCR 25","Duty Paid",,,,,,,,,"21.9699993133545",,,"3.6399998664856",,,,"1",,,,,
